Moscow	Berlin
Madrid	Barcelona
Mardid	Ibiza
Ibiza	Barcelona
Roma	Mila
Khiev	Kharkov
Paris	London
Paris	Madrid
Paris	Mila
Mila	Budapest
Budapest	Bucharest
Bucharest	Istanbul
Istanbul	Tehran
Tehran	Delhi
Delhi	Beijing
Vancouver	Chicago
Chicago	New York
Chicago	Miami
Chicago	Los Angeles
Vancouver	Los Angeles
Miami	Bogota
Bogota	Lima
Bogota	Bahia
Lima	Santiago
Santiago	Buenos Aires
Bahia	Santiago
Cape Town	Antananarivo
Niangara	Antananarivo
Abuja	Cape Town
Abuja	Niangara
Cairo	Niangara
Cairo	Riyadh
Cairo	Tripoli
Delhi	Beijing
Tripoli	Casablanca
Abuja	Casablanca
Casablanca	Madrid
Paris	London
London	New York
Paris	New York
Berlin	London
Paris	Berlin
Budapest	Berlin
Budapest	Roma
Budapest	Istanbul
Budapest	Kiev
Kiev	Istanbul
Kiev	Moscow
Moscow	Tehran
Tehran	Riyadh
Tehran	Krasnoyarsk
Moscow	Krasnoyarsk
Delhi	Krasnoyarsk
Delhi	Mumbai
Delhi	Kolkata
Krasnoyarsk	Beinjing
Beijing	Seoul
Beijing	Shanghai
Seoul	Tokyo
Kolkata	Jakarta
Jakarta	Newman
Jakarta	Darwin
Newman	Darwin
Darwin	Sydney
Sydney	Adelaide
Adelaide	Perth
Perth	Newman
Sydney	Auckland
Auckland	Dunedin
Sydney	Nouméa
Auckland	Nouméa
Almirante Brown	Buenos Aires
Cape Town	Almirante Brown
Cape Town	Vostok Station
Vostok Station	Almirante Brown
Vostok Station	Sydney
Aitape	Darwin
Aitape	Jakarta
Suva	Nouméa
Suva	Aitape
Suva	Auckland
